Activity,Weight
small meal,-0.000916389049962163
ate in,-0.007003870792686939
sport,0.02581476792693138
teaching,-0.024456441402435303
cleaning,-0.018588809296488762
labour,0.0025110971182584763
Tháº£o,0.02521882764995098
went out,0.02059713378548622
left the house,0.08652867376804352
ate out,-0.012408709153532982
music,-0.030014315620064735
Up too late,0.04140840098261833
drinking,0.015518343076109886
shower,0.03027411736547947
animals,0.010294286534190178
Medical,-0.042666684836149216
walk,-0.01526266522705555
gaming,0.013143982738256454
TV,0.006527384277433157
holiday,0.009119062684476376
hungover,-0.012169424444437027
commute,-0.0016701630083844066
browsing,-0.028523925691843033
groceries,-0.01594482734799385
bed too late,0.03299358859658241
lesson,-0.04103931039571762
Vietnamese,-0.009715942665934563
Climbing,0.01035567931830883
mental task,-0.002020367421209812
Meal,0.029270438477396965
sex,0.0486498698592186
cooking,-0.005818718113005161
home dinner,-0.01620091311633587
editing,-0.025847861543297768
Bed on time,-0.009629089385271072
Dessert,-0.004530610516667366
wanking,-0.011817511171102524
stayed in,0.09813714772462845
family,-0.0028558257035911083
driving,0.031502675265073776
podcasts,0.03874697536230087
friends,0.004451352171599865
acid,0.11197327077388763
strangers,-0.019852429628372192
weed,-0.026818225160241127
reading,-0.007549476809799671
snacking,-0.02713164873421192
sick,-0.10654538124799728
studying,-0.01633135788142681
relax,0.03355305641889572
guitar,0.020528027787804604
Workout,0.03823467344045639
